did,oid,eid,sid,ent,count,count_D,flow,flow_D,input_count,input_count_D,input_flow,input_flow_D,speed,speed_D,spdh,spdh_D,ttime,ttime_D,dtime,dtime_D,wtimeVQ,wtimeVQ_D,dwelltime,dwelltime_D,travel,travel_D,traveltime,traveltime_D,qvmean,qvmean_D,qvmax,qvmax_D,stime,stime_D,nstops,nstops_D,fuelc,fuelc_D
432009,431464,T2C11821953316814895_StopPoint:T2C3377704015496260*StopPoint:T2C3377704015496485*StopPoint:T2C3377704015496016*StopPoint:T2C3377704015495356*StopPoint:T2C3377704015495505*StopPoint:T2C3377704015495697*StopPoint:T2C3377704015495453*StopPoint:T2C3377704015496269*StopPoint:T2C3377704015495817*StopPoint:T2C3377704015496012*StopPoint:T2C3377837159482429*StopPoint:T2C3377704015495905*StopPoint:T2C3377704015495691*StopPoint:T2C3377704015496210*StopPoint:T2C3377704015496080*StopPoint:T2C3377704015495321*StopPoint:T2C3377704015495530*StopPoint:T2C3377704015495709*StopPoint:T2C3377704015495639*StopPoint:T2C3377704015495730*StopPoint:T2C3377704015495762*StopPoint:T2C3377704015495836*StopPoint:T2C3377704015496253*StopPoint:T2C3377704015496192*StopPoint:T2C3377704015495399*StopPoint:T2C3377704015496194*StopPoint:T2C3377704015495777*StopPoint:T2C3377704015495369*StopPoint:T2C3377704015495338*StopPoint:T2C3377704015495319*StopPoint:T2C3377704015495859*StopPoint:T2C3377704015495608*StopPoint:T2C3377704015495821*StopPoint:T2C3377704015495956,0,0,7,-1,7,-1,10,-1,10,-1,49.82632781,0,49.82632776,0,1108.518459,0.040599445,3.423809916,0.040599447,0,0,0,0,107.3982856,-1,7759.629211,-1,0,-1,0,-1,0,0,0,-1,0,-1
432009,431466,T2C11821953316814895_StopPoint:T2C3377704015495958*StopPoint:T2C3377704015495823*StopPoint:T2C3377704015495610*StopPoint:T2C3377704015495861*StopPoint:T2C3377704015495320*StopPoint:T2C3377704015495339*StopPoint:T2C3377704015495370*StopPoint:T2C3377704015495778*StopPoint:T2C3377704015496196*StopPoint:T2C3377704015495401*StopPoint:T2C3377704015496193*StopPoint:T2C3377704015496255*StopPoint:T2C3377704015495838*StopPoint:T2C3377704015495763*StopPoint:T2C3377704015495732*StopPoint:T2C3377704015495642*StopPoint:T2C3377704015495710*StopPoint:T2C3377704015495533*StopPoint:T2C3377704015495323*StopPoint:T2C3377704015496082*StopPoint:T2C3377704015496212*StopPoint:T2C3377704015495692*StopPoint:T2C3377704015495906*StopPoint:T2C3377837159482432*StopPoint:T2C3377704015496014*StopPoint:T2C3377704015495819*StopPoint:T2C3377704015496271*StopPoint:T2C3377704015495454*StopPoint:T2C3377704015495699*StopPoint:T2C3377704015496440*StopPoint:T2C3377704015496482*StopPoint:T2C3377704015496018*StopPoint:T2C3377704015496486*StopPoint:T2C3377704015496261,0,0,7,-1,7,-1,10,-1,10,-1,49.87222563,0,49.87222563,0,1106.672035,0,2.828112692,0,0,0,0,0,107.3181617,-1,7746.704247,-1,0,-1,0,-1,0,0,0,-1,0,-1
432009,431462,T2C11821953316814897_StopPoint:T2C3377704015496211*StopPoint:T2C3377704015495393*StopPoint:T2C3377704015495535*StopPoint:T2C3377704015495660*StopPoint:T2C3377704015495325*StopPoint:T2C3377704015495598*StopPoint:T2C3377704015495247*StopPoint:T2C3377704015495731*StopPoint:T2C3377704015495205*StopPoint:T2C3377704015495561*StopPoint:T2C3377704015495406*StopPoint:T2C3377704015495593*StopPoint:T2C3377704015495658*StopPoint:T2C3377704015495238*StopPoint:T2C3377704015496225*StopPoint:T2C3377704015496138,0,0,5,-1,5,-1,6,-1,6,-1,47.38146251,2.063077603,47.3110196,1.82557554,450.5950595,19.23634314,11.58781779,4.033609274,0,0,0,0,29.60848846,-1,2252.975297,-1,0,-1,0,-1,0,0,0,-1,0,-1
432009,431463,T2C11821953316814897_StopPoint:T2C3377704015496138*StopPoint:T2C3377704015496226*StopPoint:T2C3377704015495239*StopPoint:T2C3377704015495659*StopPoint:T2C3377704015495596*StopPoint:T2C3377704015495408*StopPoint:T2C3377704015495562*StopPoint:T2C3377704015495206*StopPoint:T2C3377704015495733*StopPoint:T2C3377704015495249*StopPoint:T2C3377704015495599*StopPoint:T2C3377704015495326*StopPoint:T2C3377704015495661*StopPoint:T2C3377704015495536*StopPoint:T2C3377704015495394*StopPoint:T2C3377704015496211,0,0,5,-1,5,-1,6,-1,6,-1,48.40621171,2.033989881,48.33807093,1.814881289,435.4343191,18.23830218,14.44107865,11.06752315,0,0,0,0,29.23340972,-1,2177.171596,-1,0,-1,0,-1,0,0,0,-1,0,-1
432009,431309,T2C11821953316814879_StopPoint:T2C3377704015495482*StopPoint:T2C3377704015495485*StopPoint:T2C3377704015495654*StopPoint:T2C3377704015495279*StopPoint:T2C3377704015495584*StopPoint:T2C3377704015496024*StopPoint:T2C3377837159481465*StopPoint:T2C3377704015496496*StopPoint:T2C3377704015495563*StopPoint:T2C3377704015495489*StopPoint:T2C3377704015495744*StopPoint:T2C3377704015495478*StopPoint:T2C3377704015496001*StopPoint:T2C3377704015496038*StopPoint:T2C3377704015496249*StopPoint:T2C3377704015495379*StopPoint:T2C3377704015495853*StopPoint:T2C3377704015496008*StopPoint:T2C3377704015495716*StopPoint:T2C3377704015496035*StopPoint:T2C3377704015496055*StopPoint:T2C3377704015495587*StopPoint:T2C3377704015495975*StopPoint:T2C3377704015495822,0,0,3,-1,3,-1,3,-1,3,-1,45.85986355,3.954858083,45.62597695,3.2666963,788.4744043,70.00414598,65.16977513,4.333001982,0,0,0,0,29.97909583,-1,2365.423213,-1,0,-1,0,-1,0,0,0,-1,0,-1
432009,431364,T2C11821953316814874_StopPoint:T2C3377704015495566*StopPoint:T2C3377704015496162*StopPoint:T2C3377704015495772*StopPoint:T2C3377704015495904*StopPoint:T2C3377704015495420*StopPoint:T2C3377704015496221*StopPoint:T2C3377704015495624*StopPoint:T2C3377704015495803*StopPoint:T2C3377704015496100*StopPoint:T2C3377704015496243*StopPoint:T2C3377704015495295*StopPoint:T2C3377704015496185*StopPoint:T2C3377704015497089*StopPoint:T2C3377704015496156*StopPoint:T2C3377704015495632*StopPoint:T2C3377704015495206*StopPoint:T2C3377704015495733*StopPoint:T2C3377704015495249*StopPoint:T2C3377704015495599*StopPoint:T2C3377704015495326*StopPoint:T2C3377704015495982*StopPoint:T2C3377704015495219*StopPoint:T2C3377704015495209*StopPoint:T2C3377704015495706*StopPoint:T2C3377704015495222*StopPoint:T2C3377704015495520*StopPoint:T2C3377704015495523*StopPoint:T2C3377704015496085*StopPoint:T2C3377704015495696*StopPoint:T2C3377704015495749*StopPoint:T2C3377704015495964*StopPoint:T2C3377704015495628*StopPoint:T2C3377704015495583*StopPoint:T2C3377704015495737*StopPoint:T2C3377704015495638*StopPoint:T2C3377704015495235*StopPoint:T2C3377704015496118*StopPoint:T2C3377704015496394*StopPoint:T2C3377704015495852*StopPoint:T2C3377704015495364*StopPoint:T2C3377704015495573*StopPoint:T2C3377704015495229,0,0,3,-1,3,-1,3,-1,3,-1,49.94489945,3.644715783,49.76735224,2.972550169,1046.619052,76.54476737,18.33752438,4.411801088,0,0,0,0,43.40621584,-1,3139.857155,-1,0,-1,0,-1,0,0,0,-1,0,-1
432009,431397,T2C11821953316814889_StopPoint:T2C3377704015496137*StopPoint:T2C3377704015495775*StopPoint:T2C3377704015496062*StopPoint:T2C3377704015495255*StopPoint:T2C3377704015495277*StopPoint:T2C3377704015495257*StopPoint:T2C3377704015495983*StopPoint:T2C3377704015496140,0,0,3,-1,3,-1,3,-1,3,-1,47.84202559,3.628148853,47.66498283,2.904951012,147.1365298,10.77305196,4.82206927,0.717336886,0,0,0,0,5.844383473,-1,441.4095895,-1,0,-1,0,-1,0,0,0,-1,0,-1
432009,431404,T2C11821953316814889_StopPoint:T2C3377704015496141*StopPoint:T2C3377704015495984*StopPoint:T2C3377704015495258*StopPoint:T2C3377704015495278*StopPoint:T2C3377704015495256*StopPoint:T2C3377704015496063*StopPoint:T2C3377704015495776*StopPoint:T2C3377704015496138*StopPoint:T2C3377704015496226*StopPoint:T2C3377704015495239*StopPoint:T2C3377704015495659*StopPoint:T2C3377704015495596*StopPoint:T2C3377837159481536*StopPoint:T2C3377837159481519*StopPoint:T2C3377837159481521*StopPoint:T2C3377837159481517*StopPoint:T2C3377704015495384*StopPoint:T2C3377704015495651*StopPoint:T2C3377704015495640,0,0,3,-1,3,-1,3,-1,3,-1,43.1541436,0.632195622,43.14791696,0.518330647,435.8380891,6.439010003,31.02686025,5.291240626,0,0,0,0,15.67125473,-1,1307.514267,-1,0,-1,0,-1,0,0,0,-1,0,-1
432009,431405,T2C11821953316814889_StopPoint:T2C3377704015496141*StopPoint:T2C3377704015495984*StopPoint:T2C3377704015495258*StopPoint:T2C3377704015495278*StopPoint:T2C3377704015495256*StopPoint:T2C3377704015496063*StopPoint:T2C3377704015495776*StopPoint:T2C3377704015496139,0,0,3,-1,3,-1,4,-1,4,-1,50.42093869,1.239962111,50.40051302,1.014625273,158.7277284,3.922391587,4.267431469,1.80084996,0,0,0,0,6.66663245,-1,476.1831851,-1,0,-1,0,-1,0,0,0,-1,0,-1
432009,431451,T2C11821953316814915_StopPoint:T2C3377837159481566*StopPoint:T2C3377704015495468*StopPoint:T2C3377837159481465*StopPoint:T2C3377704015496496*StopPoint:T2C3377704015495895*StopPoint:T2C3377704015495613*StopPoint:T2C3377704015495809*StopPoint:T2C3377704015495754*StopPoint:T2C3377704015495548*StopPoint:T2C3377704015495689*StopPoint:T2C3377704015495203*StopPoint:T2C3377704015495744*StopPoint:T2C3377704015495652*StopPoint:T2C3377704015495513*StopPoint:T2C3377704015495893*StopPoint:T2C3377837159481514*StopPoint:T2C3377704015496034*StopPoint:T2C3377704015496055*StopPoint:T2C3377704015495587*StopPoint:T2C3377704015495975*StopPoint:T2C3377704015495822*StopPoint:T2C3377704015495946*StopPoint:T2C3377704015495969*StopPoint:T2C3377704015495899*StopPoint:T2C3377704015496177*StopPoint:T2C3377704015495878*StopPoint:T2C3377704015495773*StopPoint:T2C3377704015496280*StopPoint:T2C3377704015496073*StopPoint:T2C3377704015495604*StopPoint:T2C3377704015495325*StopPoint:T2C3377704015495598*StopPoint:T2C3377704015495247*StopPoint:T2C3377704015495731*StopPoint:T2C3377704015495205*StopPoint:T2C3377704015495629*StopPoint:T2C3377704015495282*StopPoint:T2C3377704015495381*StopPoint:T2C3377704015495674*StopPoint:T2C3377704015496099*StopPoint:T2C3377704015496385,0,0,3,-1,3,-1,5,-1,5,-1,44.78801598,1.301967271,44.76286226,1.06110896,1363.779911,39.52725737,88.54346991,17.8268028,0,0,0,0,50.87224361,-1,4091.339734,-1,0,-1,0,-1,0,0,0,-1,0,-1
