type_crue,crue_binaire,ts_maj,dest,type,mnemoligne,nomarret,idarret,idligne,harret,etat,nomligne
ALM,0,2022-01-19T10:57:43+01:00,BOUCHEMAINE CHANTOURTEAU,City_GNV_S,"""6""",CHANTOURTEAU,3167890,268435462,2022-01-19T10:53:53+01:00,,BOUCHEMAINE <> Z I  EST
ALM,0,2022-01-19T10:53:16+01:00,AVRILLE ADEZIERE,OMNIART,"""3""",MURS ERIGNE,3166809,268435459,2022-01-19T11:00:00+01:00,,MURS ERIGNE <> ADEZIERE SALETTE
ALM,0,2022-01-19T10:58:39+01:00,TRELAZE SAINT LEZIN,GX 327,"""10""",MENDES FRANCE,3166757,268435466,2022-01-19T10:55:48+01:00,,ST LEZIN SORGES <> SCHWEITZER
ALM,0,2022-01-19T10:58:39+01:00,CIRCULAIRE SENS B,GX 327,"""5""",DUNANT,3166424,268435461,2022-01-19T10:56:44+01:00,,CIRCULAIRE VERNEAU GARE EUROPE
ALM,0,2022-01-19T10:58:39+01:00,SAINT AUBIN LA SALLE,GX 327,"""12""",MONGAZON,3166773,268435468,2022-01-19T10:55:11+01:00,,M-MARCILLE <> ST AUBIN LA SALLE
ALM,0,2022-01-19T10:58:39+01:00,BEAUCOUZE  HAUTE ROCHE,MAN City,"""4""",CROIX CHEMINEE,3166285,268435460,2022-01-19T10:55:11+01:00,,BEAUCOUZE <> ST BARTHELEMY
ALM,0,2022-01-19T10:58:39+01:00,BEAUCOUZE L'ATOLL,CITYART,"""4""",CITRONNELLE,3167547,268435460,2022-01-19T10:55:09+01:00,,BEAUCOUZE <> ST BARTHELEMY
ALM,0,2022-01-19T10:58:39+01:00,MONPLAISIR,CITYART,"""1""",TRINITE,3167046,268435457,2022-01-19T10:55:12+01:00,,BELLE BEILLE <> MONPLAISIR
ALM,0,2022-01-19T10:58:39+01:00,IUT BELLE-BEILLE,CITYART,"""1""",CITE UNIVERSITAIRE,3166341,268435457,2022-01-19T10:55:12+01:00,,BELLE BEILLE <> MONPLAISIR
CENTENAIRE,1,2022-01-19T10:58:39+01:00,TRELAZE QUANTINIERE,City_GNV_A,"""2""",CIMETIERE DE TRELAZE,3166337,268435458,2022-01-19T10:55:21+01:00,,ST SYLVAIN BANCHAIS <>TRELAZE
EXCEPTIONNELLE,1,2022-01-19T10:58:39+01:00,TRELAZE QUANTINIERE,City_GNV_A,"""2""",CIMETIERE DE TRELAZE,3166337,268435458,2022-01-19T10:55:21+01:00,,ST SYLVAIN BANCHAIS <>TRELAZE
ALM,0,2022-01-19T10:58:39+01:00,LORRAINE,CITYSTD,"""7""",HOTEL DIEU,3166568,268435463,2022-01-19T10:55:10+01:00,,HOPITAL <> MONTREUIL JUIGNE
ALM,0,2022-01-19T10:58:39+01:00,CIRCULAIRE SENS A,CITYSTD,"""5""",DUMONT D'URVILLE,3166427,268435461,2022-01-19T10:55:58+01:00,,CIRCULAIRE VERNEAU GARE EUROPE
ALM,0,2022-01-19T10:58:39+01:00,ANGERS ROSERAIE,CITADIS,"""A""",FOCH HARAS,3166073,268435471,2022-01-19T10:55:06+01:00,,ARDENNE <> ROSERAIE
ALM,0,2022-01-19T10:58:39+01:00,ANGERS ROSERAIE,CITADIS,"""A""",TERRA BOTANICA,3166068,268435471,2022-01-19T10:55:22+01:00,,ARDENNE <> ROSERAIE
ALM,0,2022-01-19T10:58:39+01:00,ANGERS ROSERAIE,CITADIS,"""A""",JEAN VILAR,3166078,268435471,2022-01-19T10:56:14+01:00,,ARDENNE <> ROSERAIE
ALM,0,2022-01-19T10:55:36+01:00,CIRCULAIRE SENS A,CITYSTD,"""5""",5A VERNEAU AQUAVITA,3167603,268435461,2022-01-19T11:01:00+01:00,,CIRCULAIRE VERNEAU GARE EUROPE
ALM,0,2022-01-19T10:53:34+01:00,SAINT BARTHELEMY,MAN City,"""4""",SAINT BARTHELEMY,3167901,268435460,2022-01-19T10:49:53+01:00,,BEAUCOUZE <> ST BARTHELEMY
ALM,0,2022-01-19T10:58:39+01:00,ZI EST,OMNICITY,"""6""",PRUNIERS,3166910,268435462,2022-01-19T10:55:15+01:00,,BOUCHEMAINE <> Z I  EST
ALM,0,2022-01-19T10:58:39+01:00,BOUCHEMAINE CENTRE,OMNICITY,"""6""",MAISON DU LAC,3166669,268435462,2022-01-19T10:56:06+01:00,,BOUCHEMAINE <> Z I  EST
ALM,0,2022-01-19T10:58:39+01:00,L'HOIRIE LAC DE MAINE,OMNICITY,"""11""",FREMUR,3166482,268435467,2022-01-19T10:55:45+01:00,,LAC MAINE <> STE GEMMES CL ANJOU
ALM,0,2022-01-19T10:58:39+01:00,MONTREUIL JUIGNE,GX 327,"""7""",ESPERANTO,3166450,268435463,2022-01-19T10:55:30+01:00,,HOPITAL <> MONTREUIL JUIGNE
ALM,0,2022-01-19T10:58:39+01:00,MOULIN MARCILLE,GX 327,"""8""",PLACE LA FAYETTE,3166643,268435464,2022-01-19T10:55:00+01:00,,PONTS DE CE <>  AQUAVITA HOPITAL
CENTENAIRE,1,2022-01-19T10:58:39+01:00,AVRILLE ADEZIERE,MAN City,"""3""",MAIRIE PONTS DE CE,3166897,268435459,2022-01-19T10:56:28+01:00,,MURS ERIGNE <> ADEZIERE SALETTE
DECENNALE,1,2022-01-19T10:58:39+01:00,AVRILLE ADEZIERE,MAN City,"""3""",MAIRIE PONTS DE CE,3166897,268435459,2022-01-19T10:56:28+01:00,,MURS ERIGNE <> ADEZIERE SALETTE
EXCEPTIONNELLE,1,2022-01-19T10:58:39+01:00,AVRILLE ADEZIERE,MAN City,"""3""",MAIRIE PONTS DE CE,3166897,268435459,2022-01-19T10:56:28+01:00,,MURS ERIGNE <> ADEZIERE SALETTE
ALM,0,2022-01-19T10:58:39+01:00,SAINT BARTHELEMY,MAN City,"""4""",GRANGE AUX BELLES,3166535,268435460,2022-01-19T10:55:12+01:00,,BEAUCOUZE <> ST BARTHELEMY
ALM,0,2022-01-19T10:58:39+01:00,IUT BELLE-BEILLE,CITYART,"""1""",SAVARY,3166985,268435457,2022-01-19T10:55:19+01:00,,BELLE BEILLE <> MONPLAISIR
ALM,0,2022-01-19T10:58:39+01:00,BANCHAIS,City_GNV_A,"""2""",PAUL BERT,3166840,268435458,2022-01-19T10:55:25+01:00,,ST SYLVAIN BANCHAIS <>TRELAZE
ALM,0,2022-01-19T10:58:39+01:00,TRELAZE QUANTINIERE,City_GNV_A,"""2""",ECLATERIES,3166434,268435458,2022-01-19T10:55:18+01:00,,ST SYLVAIN BANCHAIS <>TRELAZE
