did,oid,eid,sid,ent,density,density_D,flow,flow_D,input_flow,input_flow_D,input_count,input_count_D,ttime,ttime_D,dtime,dtime_D,wtimeVQ,wtimeVQ_D,speed,speed_D,spdh,spdh_D,travel,travel_D,traveltime,traveltime_D,vWait,vWait_D,vIn,vIn_D,vOut,vOut_D,totalDistanceTraveledInside,totalDistanceTraveledInside_D,totalTravelTimeInside,totalTravelTimeInside_D,totalWaitingTime,totalWaitingTime_D,vLostIn,vLostIn_D,vLostOut,vLostOut_D,qmean,qmean_D,qvmean,qvmean_D,qvmax,qvmax_D,missedTurnings,missedTurnings_D,lane_changes,lane_changes_D,total_lane_changes,total_lane_changes_D,stime,stime_D,nstops,nstops_D,totalNStops,totalNStops_D,fuelc,fuelc_D
182121,182121,,0,1,2.953969778,-1,19998,-1,44562,-1,7427,-1,93.46114291,30.51037635,25.52328916,28.75993261,209.7309724,186.8603295,40.85142187,8.092932161,38.51868154,9.479139313,14155.63762,-1,344.800697,-1,2055451,-1,5295,-1,3333,-1,29582.8639,-1,1543.208827,-1,227701.9556,-1,0,-1,0,-1,2243.904,-1,1371521.991,-1,2055451,-1,45,-1,3.553640354,-1,8909,-1,12.40480373,23.23531792,0,-1,7276,-1,1200.312791,-1
182121,182121,,1,1,2.944788727,-1,19974,-1,44442,-1,7407,-1,93.37137446,30.38735145,25.53211125,28.77513651,209.9829772,186.8309862,40.87356717,8.071121759,38.5557139,9.453384978,14142.51823,-1,344.212878,-1,2055433,-1,5269,-1,3329,-1,29502.3127,-1,1539.69525,-1,227700.4484,-1,0,-1,0,-1,2235.636,-1,1371512.772,-1,2055433,-1,45,-1,3.550848179,-1,8902,-1,12.41855582,23.24581555,0,-1,7252,-1,1199.088559,-1
182121,182121,,2,1,0,-1,24,-1,96,-1,16,-1,168.1709386,45.83906039,18.18110407,7.777135914,0,0,22.42099982,4.996530013,21.40679019,4.659503479,13.11938105,-1,0.587818975,-1,18,-1,18,-1,4,-1,58.8754099,-1,2.665756207,-1,1.507222222,-1,0,-1,0,-1,7.141333333,-1,9.218666667,-1,18,-1,0,-1,0,-1,7,-1,0.959621676,1.919243352,0,-1,24,-1,1.224232674,-1
182121,182121,,3,1,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1
182121,182121,,4,1,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1
182121,182121,,5,1,0,-1,0,-1,24,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,0,-1,8,-1,0,-1,21.67578766,-1,0.847821098,-1,0,-1,0,-1,0,-1,1.164,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1
182121,182121,,0,2,4.512405381,-1,8136,-1,32874,-1,5479,-1,99.42584209,40.53623415,30.85879254,38.60568113,597.5239098,337.3308013,39.04808611,8.655470578,36.20789047,10.14088225,7163.14076,-1,188.5056848,-1,3427263,-1,8062,-1,1356,-1,14593.69304,-1,2213.624988,-1,456456.8702,-1,0,-1,0,-1,7487.501333,-1,2742107.595,-1,3427263,-1,46,-1,1.717985072,-1,4307,-1,18.11263656,36.09931174,0,-1,4362,-1,600.3445128,-1
182121,182121,,1,2,4.498267271,-1,8094,-1,32760,-1,5460,-1,98.84285037,39.71281044,30.79553482,38.68994048,600.579046,335.5175729,39.15834237,8.535802949,36.42145068,9.984065585,7134.977888,-1,187.0104603,-1,3427230,-1,8031,-1,1349,-1,14532.23535,-1,2208.089431,-1,456453.3122,-1,0,-1,0,-1,7468.918667,-1,2742086.156,-1,3427230,-1,46,-1,1.70801302,-1,4282,-1,18.13122192,36.18714536,0,-1,4249,-1,593.8574207,-1
182121,182121,,2,2,0.010849803,-1,36,-1,90,-1,15,-1,223.2195521,35.38312944,43.63810982,10.89212145,10.21477312,19.61436631,16.57451489,3.39883064,16.12761949,2.684652489,20.85298955,-1,1.204617328,-1,33,-1,21,-1,6,-1,49.81326512,-1,4.197054953,-1,3.558055556,-1,0,-1,0,-1,15.53866667,-1,21.43866667,-1,33,-1,0,-1,0,-1,24,-1,14.70926185,9.714180734,0,-1,82,-1,2.793891875,-1
182121,182121,,3,2,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1
182121,182121,,4,2,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1
182121,182121,,5,2,0,-1,6,-1,24,-1,4,-1,143.1194035,-1,39.5175523,-1,0,-1,25.153822,-1,25.153822,0,7.309882428,-1,0.290607226,-1,0,-1,10,-1,1,-1,11.64442002,-1,1.33850129,-1,0,-1,0,-1,0,-1,3.044,-1,0,-1,0,-1,0,-1,0,-1,1,-1,13.46122882,-1,0.012365344,-1,31,-1,3.69320016,-1
182121,182121,,0,3,5.891350864,-1,840,-1,15240,-1,2540,-1,85.35344345,26.51947292,11.84599351,8.518676989,1361.184475,371.975819,44.35442283,7.84739235,42.17756021,9.582001583,459.256068,-1,10.2715038,-1,4804710,-1,10322,-1,140,-1,6848.052233,-1,2606.175617,-1,685779.4916,-1,0,-1,0,-1,11607.384,-1,4116505.635,-1,4804710,-1,22,-1,0.095731697,-1,240,-1,1.544444067,3.513110136,0,-1,121,-1,32.23580003,-1
