Site ID,ID Building,BS,OV,Max_Rx_Pw
Hub_3,441,28GHz Hub_3_0,NLOS,-114.88
Hub_3,1353,28GHz Hub_3_0,NLOS,-124.51
Hub_3,1378,28GHz Hub_3_0,NLOS,-128.65
Hub_3,1220,28GHz Hub_3_0,LOS,-96.15
Hub_3,1244,28GHz Hub_3_0,LOS,-84.2
Hub_3,1243,28GHz Hub_3_0,LOS,-85.49
Hub_3,1242,28GHz Hub_3_0,LOS,-82.11
Hub_3,1272,28GHz Hub_3_0,LOS,-88.39
Hub_3,460,28GHz Hub_3_0,LOS,-93.35
Hub_3,1292,28GHz Hub_3_0,LOS,-93.35
Hub_3,1305,28GHz Hub_3_0,LOS,-93.35
Hub_3,1306,28GHz Hub_3_0,LOS,-93.35
Hub_3,1307,28GHz Hub_3_0,LOS,-93.35
Hub_3,346,28GHz Hub_3_0,LOS,-97.61
Hub_3,347,28GHz Hub_3_0,LOS,-97.61
Hub_3,370,28GHz Hub_3_0,LOS,-96.64
Hub_3,390,28GHz Hub_3_0,LOS,-97.47
Hub_3,405,28GHz Hub_3_0,LOS,-96.05
Hub_3,409,28GHz Hub_3_0,LOS,-93.77
Hub_3,410,28GHz Hub_3_0,LOS,-93.77
Hub_3,416,28GHz Hub_3_0,LOS,-95.05
Hub_3,426,28GHz Hub_3_0,LOS,-92.71
Hub_3,427,28GHz Hub_3_0,LOS,-92.71
Hub_3,428,28GHz Hub_3_0,LOS,-92.71
Hub_3,423,28GHz Hub_3_0,LOS,-92.97
Hub_3,440,28GHz Hub_3_0,LOS,-92.14
Hub_3,438,28GHz Hub_3_0,LOS,-95.79
Hub_3,439,28GHz Hub_3_0,LOS,-95.79
Hub_3,452,28GHz Hub_3_0,LOS,-89.47
Hub_3,461,28GHz Hub_3_0,LOS,-90.05
Hub_3,478,28GHz Hub_3_0,LOS,-88.79
Hub_3,479,28GHz Hub_3_0,LOS,-88.79
Hub_3,1181,28GHz Hub_3_0,LOS,-88.79
Hub_3,1182,28GHz Hub_3_0,LOS,-88.79
Hub_3,474,28GHz Hub_3_0,LOS,-94.31
Hub_3,487,28GHz Hub_3_0,LOS,-84.9
Hub_3,488,28GHz Hub_3_0,LOS,-84.9
Hub_3,489,28GHz Hub_3_0,LOS,-84.9
Hub_3,490,28GHz Hub_3_0,LOS,-84.9
Hub_3,485,28GHz Hub_3_0,LOS,-82.83
Hub_3,482,28GHz Hub_3_0,LOS,-96.06
Hub_3,492,28GHz Hub_3_0,LOS,-72.37
Hub_3,1606,28GHz Hub_3_0,LOS,-84.81
Hub_3,1617,28GHz Hub_3_0,LOS,-96.56
Hub_3,1329,28GHz Hub_3_0,LOS,-102.28
Hub_3,1377,28GHz Hub_3_0,LOS,-101.12
Hub_3,1107,28GHz Hub_3_0,LOS,-87.24
Hub_3,1126,28GHz Hub_3_0,LOS,-84.96
Hub_3,1127,28GHz Hub_3_0,LOS,-84.96
Hub_3,1128,28GHz Hub_3_0,LOS,-84.96
Hub_3,1129,28GHz Hub_3_0,LOS,-84.96
Hub_3,1130,28GHz Hub_3_0,LOS,-84.96
Hub_3,1124,28GHz Hub_3_0,LOS,-87.31
Hub_3,1125,28GHz Hub_3_0,LOS,-87.31
Hub_3,1123,28GHz Hub_3_0,LOS,-93.12
Hub_3,1135,28GHz Hub_3_0,LOS,-90.64
Hub_3,1148,28GHz Hub_3_0,LOS,-87.64
Hub_3,1149,28GHz Hub_3_0,LOS,-87.64
Hub_3,1150,28GHz Hub_3_0,LOS,-87.64
Hub_3,1152,28GHz Hub_3_0,LOS,-87.64
Hub_3,1147,28GHz Hub_3_0,LOS,-89.05
Hub_3,1151,28GHz Hub_3_0,LOS,-90.24
Hub_3,1179,28GHz Hub_3_0,LOS,-84.52
Hub_3,1178,28GHz Hub_3_0,LOS,-83.63
Hub_3,1286,28GHz Hub_3_120,VLOS,-121.73
Hub_3,535,28GHz Hub_3_120,VLOS,-92.9
Hub_3,1590,28GHz Hub_3_120,VLOS,-115.79
Hub_3,562,28GHz Hub_3_120,VLOS,-96.23
Hub_3,597,28GHz Hub_3_120,VLOS,-114.79
Hub_3,637,28GHz Hub_3_120,VLOS,-111.7
Hub_3,1529,28GHz Hub_3_120,VLOS,-130.48
Hub_3,1121,28GHz Hub_3_120,VLOS,-112.86
Hub_3,1266,28GHz Hub_3_120,NLOS,-114.19
Hub_3,512,28GHz Hub_3_120,NLOS,-122.32
Hub_3,1263,28GHz Hub_3_120,LOS,-87.15
Hub_3,486,28GHz Hub_3_120,LOS,-94.56
Hub_3,481,28GHz Hub_3_120,LOS,-96.69
Hub_3,493,28GHz Hub_3_120,LOS,-80.35
Hub_3,494,28GHz Hub_3_120,LOS,-80.35
Hub_3,491,28GHz Hub_3_120,LOS,-92.36
Hub_3,500,28GHz Hub_3_120,LOS,-85.1
Hub_3,499,28GHz Hub_3_120,LOS,-89.98
Hub_3,497,28GHz Hub_3_120,LOS,-93.99
Hub_3,510,28GHz Hub_3_120,LOS,-96.1
Hub_3,546,28GHz Hub_3_120,LOS,-94.09
Hub_3,603,28GHz Hub_3_120,LOS,-98.88
Hub_3,695,28GHz Hub_3_120,LOS,-87.57
Hub_3,1507,28GHz Hub_3_120,LOS,-96.86
Hub_3,1212,28GHz Hub_3_120,LOS,-96
Hub_3,545,28GHz Hub_3_240,NLOS,-126.75
Hub_3,554,28GHz Hub_3_240,NLOS,-126.61
Hub_3,1519,28GHz Hub_3_240,NLOS,-133.16
Hub_3,495,28GHz Hub_3_240,LOS,-87.43
Hub_3,496,28GHz Hub_3_240,LOS,-87.43
Hub_3,514,28GHz Hub_3_240,LOS,-86.72
Hub_3,513,28GHz Hub_3_240,LOS,-88.59
Hub_3,519,28GHz Hub_3_240,LOS,-90.51
Hub_3,520,28GHz Hub_3_240,LOS,-90.51
Hub_3,1583,28GHz Hub_3_240,LOS,-92.54
Hub_3,544,28GHz Hub_3_240,LOS,-93.94
Hub_3,538,28GHz Hub_3_240,LOS,-92.95
Hub_3,1034,28GHz Hub_3_240,LOS,-92.78
Hub_3,1033,28GHz Hub_3_240,LOS,-91.99
Hub_3,1076,28GHz Hub_3_240,LOS,-81.14
Hub_3,1077,28GHz Hub_3_240,LOS,-81.14
Hub_3,1078,28GHz Hub_3_240,LOS,-81.14
Hub_3,1079,28GHz Hub_3_240,LOS,-81.14
