Site_name,Transmitter Easting,Transmitter northing,Transmitter height,abs_pop,abs_area
29040_002,73147.35,2396675.07,22.65,1923,140.0825
29221_003,76725.18,2413010.96,27,1898,83.015
29190_001,77347.85,2395892.37,27,3105,43.1925
29177_001,77360.26,2407028.55,39,2663,59.99
29221_001,77686,2411155,38.8,1495,43.5975
29201_001,78402,2402154,26.5,1131,34.3875
29168_001,78770,2360350,15,1578,111.655
29178_002,81594.19,2418306.24,23,2895,87.51
29130_001,83410,2396440,33.2,3118,57.76
29178_001,83702.12,2415200.66,31.4,2484,32.99
29260_002,86462.73,2405438.28,35.5,4374,33.295
29212_004,86615,2399335,25.5,2366,22.4775
29022_001,86850.01,2386220,18,2382,53.6575
29196_001,87669.66,2414454.76,29,1378,34.4775
29257_001,87864.62,2418514.77,27,1965,38.69
29212_005,88493,2397945,18.55,3167,12.1025
29197_002,88933.25,2357956.88,24.7,4679,73.1125
29069_001,90434.96,2403306.67,22.2,4343,12.79
29149_003,90614.12,2407975.13,26.1,1357,14.095
29042_008,91112.1,2380808.72,26,1153,18.93
29101_001,91115.92,2421145.31,22.4,3002,53.91
29019_036,92027.92,2399985.63,21,1416,4.385
29019_026,92112,2397852,24.9,6944,30.5175
29197_003,92153.3,2359101.46,25,1831,35.6425
29019_016,92422.31,2398614.61,40.5,6267,4.7475
29035_001,93100,2409170,22.9,357,16.3825
29042_004,93189,2382966,32.2,3766,51.33
29019_001,93249,2398110.01,12.7,2041,0.4025
29019_018,93334.04,2400895.01,58,7982,7.5875
29011_001,93593,2404383,21.8,2082,11.4925
29019_010,93821.06,2398978.95,39.7,4891,2.4125
29019_029,94083.04,2398358.42,18,5020,3.2625
29019_012,94569.99,2400990,44.7,8824,2.98
29019_015,94642.88,2399177.69,15,895,0.2975
29215_001,95200,2353980,23,2155,86.46
29117_001,95423.15,2418950.08,38.5,3259,27.515
29019_002,95458,2399543.05,23.7,4160,0.7375
29019_031,95605.21,2401704.96,25,3434,2.3525
29015_003,95669.18,2411790.56,27,1624,19.3725
29019_028,95791.27,2398713.77,23.2,5625,11.935
29019_033,96054.32,2399241.44,20.7,2566,0.3525
29019_013,96435.06,2401269.95,49,4524,2.8925
29061_002,96465.03,2406084.97,29.4,3165,22.89
29195_002,96590.01,2422780,41.1,2516,96.1225
