fid,INSEE_COM,NOM_COM,IRIS,CODE_IRIS,NOM_IRIS,TYP_IRIS,mapped,pop_cov,area_cov
NOM_COM,22001,Allineuc,0,220010000,Allineuc,Z,0,0.5632,0.6017
2,22002,Andel,0,220020000,Andel,Z,1,0.9614,0.9661
3,22003,Aucaleuc,0,220030000,Aucaleuc,Z,2,0.2984,0.2923
4,22004,Bégard,102,220040102,Le Menhir,H,3,0.844,0.8224
5,22004,Bégard,101,220040101,l'Etang,H,4,0.9615,0.9646
6,22005,Belle-Isle-en-Terre,0,220050000,Belle-Isle-en-Terre,Z,5,0.9329,0.9363
7,22006,Berhet,0,220060000,Berhet,Z,6,0.0252,0.0197
8,22007,Binic,0,220070000,Binic,Z,7,0.998,0.9969
9,22008,Bobital,0,220080000,Bobital,Z,8,0.7188,0.7221
10,22009,Le Bodéo,0,220090000,Le Bodéo,Z,9,0.1604,0.1844
11,22011,Boqueho,0,220110000,Boqueho,Z,10,0.4146,0.4293
12,22012,La Bouillie,0,220120000,La Bouillie,Z,11,0.3514,0.3708
13,22013,Bourbriac,0,220130000,Bourbriac,Z,12,0.8556,0.9161
14,22014,Bourseul,0,220140000,Bourseul,Z,13,0.7836,0.7816
15,22015,Bréhand,0,220150000,Bréhand,Z,14,0.4066,0.4144
16,22016,Île-de-Bréhat,0,220160000,Île-de-Bréhat,Z,15,0.0058,0.0127
17,22018,Brélidy,0,220180000,Brélidy,Z,16,0.1273,0.0892
18,22019,Bringolo,0,220190000,Bringolo,Z,17,0.3431,0.4846
19,22020,Broons,0,220200000,Broons,Z,18,0.8879,0.8804
20,22021,Brusvily,0,220210000,Brusvily,Z,19,0.4041,0.4921
21,22023,Bulat-Pestivien,0,220230000,Bulat-Pestivien,Z,20,0.0909,0.0997
22,22024,Calanhel,0,220240000,Calanhel,Z,21,0.0796,0.1028
23,22025,Callac,0,220250000,Callac,Z,22,0.2815,0.2762
24,22026,Calorguen,0,220260000,Calorguen,Z,23,0.8145,0.7266
25,22027,Le Cambout,0,220270000,Le Cambout,Z,24,0.375,0.4461
26,22028,Camlez,0,220280000,Camlez,Z,25,0.9399,0.9476
27,22029,Canihuel,0,220290000,Canihuel,Z,26,0.2921,0.2846
28,22030,Caouënnec-Lanvézéac,0,220300000,Caouënnec-Lanvézéac,Z,27,1,0.9865
29,22031,Carnoët,0,220310000,Carnoët,Z,28,0.2893,0.2801
30,22032,Caulnes,0,220320000,Caulnes,Z,29,0.972,0.9649
31,22033,Caurel,0,220330000,Caurel,Z,30,0.9526,0.9827
32,22034,Cavan,0,220340000,Cavan,Z,31,0.8756,0.8902
33,22035,Les Champs-Géraux,0,220350000,Les Champs-Géraux,Z,32,0.5386,0.6656
34,22036,La Chapelle-Blanche,0,220360000,La Chapelle-Blanche,Z,33,0.8539,0.7581
35,22037,La Chapelle-Neuve,0,220370000,La Chapelle-Neuve,Z,34,0.0105,0.0059
36,22038,Châtelaudren,0,220380000,Châtelaudren,Z,35,1,1
37,22039,La Chèze,0,220390000,La Chèze,Z,36,1,1
38,22040,Coadout,0,220400000,Coadout,Z,37,0.1436,0.1451
39,22041,Coatascorn,0,220410000,Coatascorn,Z,38,0.1727,0.0976
40,22042,Coatréven,0,220420000,Coatréven,Z,39,1,1
41,22043,Coëtlogon,0,220430000,Coëtlogon,Z,40,0.3846,0.4247
42,22044,Coëtmieux,0,220440000,Coëtmieux,Z,41,0.6639,0.6412
43,22045,Cohiniac,0,220450000,Cohiniac,Z,42,0.3207,0.3545
44,22046,Collinée,0,220460000,Collinée,Z,43,0.9182,0.9234
45,22047,Corlay,0,220470000,Corlay,Z,44,0.9685,0.9613
46,22048,Corseul,0,220480000,Corseul,Z,45,0.8683,0.8872
47,22049,Créhen,0,220490000,Créhen,Z,46,0.4708,0.3982
48,22050,Dinan,106,220500106,Ville Intra Muros,H,47,0.9181,0.8917
49,22050,Dinan,102,220500102,Les Cordiers-Coninais-Fontaine des Eaux,H,48,0.9684,0.9667
50,22050,Dinan,104,220500104,Ste-Anne-Gare-Leconte de Lisle,H,49,1,1
51,22050,Dinan,107,220500107,Fontaines-Les Salesiens,H,50,1,1
52,22050,Dinan,103,220500103,Les Combournaises,H,51,0.8829,0.791
53,22050,Dinan,101,220500101,Zone Industrielle,A,52,1,1
54,22051,Dolo,0,220510000,Dolo,Z,53,0.9846,0.9904
55,22052,Duault,0,220520000,Duault,Z,54,0.6243,0.6257
56,22053,Éréac,0,220530000,Éréac,Z,55,0.2771,0.3362
57,22054,Erquy,0,220540000,Erquy,Z,56,0.8067,0.7933
