Name,Easting,Northing,Height,Population,Area
35210_001,295108,2357817,31,5483,19.3225
35353_003,295500,2355273,25,2049,10.0825
35353_002,296133,2353326,17,602,4.9275
35281_009,296830,2350285,27,344,9.25
35047_004,296872,2347379,22,1140,8.005
35238_028,297251,2352850,18,210,3.24
35238_032,298057,2353750,21,713,2.4525
35238_021,298891,2354715,46,7645,5.0675
35238_012,298952,2352382,17,3547,1.635
35281_001,299035,2350349,30,4214,5.3275
35238_031,299240,2356895,30,3144,8.26
35238_017,299442,2353587,36,4033,1.5
35206_002,299530,2347760,18,823,10.15
35238_034,300000,2352830,18,3090,0.69
35238_009,300057,2353560,43,4552,0.58
35278_003,300125,2359550,28,3204,12.8475
35238_024,300225,2354212,43,5461,1.8425
35238_010,300583,2356150,21,2323,3.325
35238_019,300721,2351708,30,5649,1.1825
35238_001,300760,2350674,40,6771,4.355
35238_026,300825,2353690,25,3139,0.3475
35238_002,300862,2352938,39,6542,0.8925
35238_018,301148,2353906,27,2729,0.3875
35238_013,301371,2352516,29,1159,0.37
35238_005,301538,2353078,45,6968,1.1275
35238_042,301719,2350760,48,4852,2.8775
35238_025,301809,2354189,28,5484,1.775
35238_007,302161,2351555,20,4010,0.945
35238_015,302170,2352516,33,7392,1.92
35238_003,302262,2354744,30,4414,1.1325
35238_008,302880,2350604,51,7126,6.5375
35238_006,303081,2355259,35,7382,2.92
35238_035,303105,2356701,21,2488,11.7975
35238_011,303314,2353760,16,3228,2.0975
35238_020,303799,2351809,29,3203,1.275
35238_043,304317,2351231,27,2680,2.2675
35055_002,304520,2349560,22,1567,6.5475
35051_002,305002,2354719,35,4907,7.8725
35055_001,305408,2351638,27,2224,2.965
35051_004,305541,2352335,29,2362,3.7
35051_009,306619,2353810,21,2447,1.9725
35334_001,307276,2358343,35,3829,23.6075
35051_011,307794,2353355,15,286,3.3475
35051_001,307849,2354639,37,2184,6.6025
35051_003,308169,2351474,28,1249,14.13
35001_003,310250,2355090,22,1596,12.4675
