Car,Cardinal of entry,Cardinal of exit,Time of entry,Time of exit,Delay
12,South,North,0.375,2.6875,2.3125
13,West,South,0.4375,1.65625,1.21875
14,South,West,0.5,4.28125,3.78125
15,East,South,0.65625,4.71875,4.0625
16,East,West,0.6875,3.625,2.9375
17,West,West,1.3125,1.71875,0.40625
18,North,South,1.34375,4.28125,2.9375
19,South,East,1.375,2.65625,1.28125
20,North,South,1.5,4.21875,2.71875
21,North,West,1.5625,2.78125,1.21875
22,West,North,2.09375,6.96875,4.875
23,South,East,2.125,3.40625,1.28125
24,West,South,2.34375,3.96875,1.625
25,South,East,3,4.25,1.25
26,South,North,3.09375,6.5,3.40625
27,East,South,3.09375,7.125,4.03125
28,East,West,3.28125,6.1875,2.90625
29,North,South,3.84375,6.53125,2.6875
30,North,East,3.875,7.875,4
31,North,West,4.21875,5.71875,1.5
32,South,East,4.25,5.375,1.125
34,West,East,4.375,7.3125,2.9375
35,West,North,4.375,8.71875,4.34375
36,South,East,4.5,5.75,1.25
37,East,North,4.625,6.03125,1.40625
38,South,West,5,9.625,4.625
39,South,North,5.53125,8.375,2.84375
40,South,East,5.71875,7,1.28125
41,North,East,6.03125,10.1875,4.15625
42,North,West,6.09375,7.34375,1.25
43,North,South,6.21875,9.15625,2.9375
44,East,South,6.25,9.96875,3.71875
45,East,West,6.28125,8.9375,2.65625
46,North,West,6.5625,7.96875,1.40625
47,West,East,6.875,9.65625,2.78125
48,West,South,6.96875,8.3125,1.34375
49,West,North,7,11.0625,4.0625
50,South,West,7.59375,12.375,4.78125
51,South,North,7.875,10.46875,2.59375
52,East,South,8.25,11.625,3.375
53,East,West,8.40625,11.9375,3.53125
54,North,West,9.125,10.375,1.25
55,North,South,9.3125,12.3125,3
56,North,East,9.46875,14.3125,4.84375
57,South,East,9.5625,10.6875,1.125
58,North,West,9.59375,11,1.40625
59,West,North,9.84375,14.25,4.40625
60,West,East,9.90625,12.5625,2.65625
61,South,North,10.03125,12.71875,2.6875
62,South,West,10.125,14.125,4
63,East,West,10.59375,13,2.40625
64,East,South,10.625,14.71875,4.09375
65,West,South,12.09375,13.4375,1.34375
66,South,West,12.28125,16.25,3.96875
67,West,North,12.40625,16.4375,4.03125
68,East,North,12.5,13.84375,1.34375
69,West,East,12.875,15.53125,2.65625
70,North,South,13.25,17.84375,4.59375
71,North,East,13.53125,17.90625,4.375
72,East,South,13.5625,18.46875,4.90625
73,East,West,13.5625,16.71875,3.15625
74,North,West,13.65625,14.9375,1.28125
75,North,West,14.15625,15.59375,1.4375
76,West,North,14.46875,18.65625,4.1875
77,West,East,14.9375,17.34375,2.40625
78,South,East,15.0625,16.34375,1.28125
79,West,South,15.0625,16.40625,1.34375
80,South,North,15.5,17.8125,2.3125
81,South,West,15.5,19.8125,4.3125
82,South,East,15.5,16.71875,1.21875
83,West,South,15.625,16.9375,1.3125
84,East,West,16.09375,19.40625,3.3125
85,North,West,16.46875,17.96875,1.5
86,West,North,16.5625,21.6875,5.125
87,North,West,17,18.40625,1.40625
88,North,East,17.09375,21.1875,4.09375
89,South,East,17.40625,18.53125,1.125
90,North,South,17.40625,21.09375,3.6875
91,East,South,17.59375,21.6875,4.09375
92,West,East,17.78125,20.71875,2.9375
93,South,North,18.0625,21.25,3.1875
94,West,North,18.4375,23.0625,4.625
95,West,South,18.5625,19.90625,1.34375
96,South,West,18.625,23.4375,4.8125
97,South,East,18.625,19.8125,1.1875
98,East,West,18.625,20.375,1.75
99,East,North,19.09375,20.4375,1.34375
100,West,South,19.15625,20.5,1.34375
101,North,East,19.28125,24.90625,5.625
102,East,North,19.4375,20.90625,1.46875
103,North,South,19.5,22.28125,2.78125
104,North,West,20.3125,21.1875,0.875
105,South,East,20.90625,22.1875,1.28125
107,West,East,21.375,24.53125,3.15625
109,South,North,21.5,24.53125,3.03125
110,North,South,21.5625,24.75,3.1875
111,West,South,21.96875,23.28125,1.3125
112,West,North,22.3125,26.75,4.4375
113,East,West,22.34375,24.875,2.53125
114,South,North,22.4375,24.59375,2.15625
115,East,West,22.8125,24.90625,2.09375
116,North,East,22.9375,27.15625,4.21875
117,North,West,22.96875,24.5,1.53125
118,East,North,23.125,24.65625,1.53125
119,North,South,23.46875,26.125,2.65625
120,East,North,23.78125,24.65625,0.875
121,East,North,24.28125,25.875,1.59375
122,East,South,24.3125,28.09375,3.78125
123,North,West,24.46875,25.53125,1.0625
124,North,North,24.59375,25.15625,0.5625
125,West,West,24.90625,25.21875,0.3125
126,South,West,25.3125,29.54545455,4.232954545
127,West,West,25.34375,25.46875,0.125
128,West,West,25.5625,26.21875,0.65625
129,North,West,25.65625,27.15625,1.5
130,North,East,25.6875,29.84848485,4.160984848
131,North,South,25.71875,28.65625,2.9375
132,West,South,25.96875,28.125,2.15625
133,West,North,26.0625,30.12903226,4.066532258
134,North,West,26.25,27.65625,1.40625
135,East,West,26.5625,30.19354839,3.631048387
136,East,South,26.625,31.46875,4.84375
137,South,North,26.96875,29.27272727,2.303977273
138,North,West,27.5625,29.06060606,1.498106061
139,North,South,27.5625,31.03125,3.46875
140,South,East,28.1875,29.36363636,1.176136364
141,West,North,28.5625,32.8125,4.25
