Site,Transmitter Easting,Transmitter northing,nom_reg,nom_dep,insee_dep,nom_com,insee_com,700MHz,800MHz,900MHz,1800MHz,2100MHz,2600MHz,3500MHz,Capacite_theorique,Capacite_th,Site_Population,Population/Capacity
22001_001,216304.35,2379168.14,BRETAGNE,COTES D ARMOR,22,ALLINEUC,22001,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,2186,9.10833333333333
22004_002,184600,2418380,BRETAGNE,COTES D ARMOR,22,BEGARD,22004,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,4039,8.97555555555556
22007_003,218859.75,2413778.09,BRETAGNE,COTES D ARMOR,22,BINIC ETABLES SUR MER,22055,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,4627,10.2822222222222
22013_001,191596.83,2399739.93,BRETAGNE,COTES D ARMOR,22,BOURBRIAC,22013,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1612,3.58222222222222
22020_001,258690.01,2378074.98,BRETAGNE,COTES D ARMOR,22,BROONS,22020,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2644,5.87555555555556
22021_001,272246.9,2385217.49,BRETAGNE,COTES D ARMOR,22,BRUSVILY,22021,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2375,5.27777777777778
22030_001,179176,2427410,BRETAGNE,COTES D ARMOR,22,CAOUENNEC LANVEZEAC,22030,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2056,4.56888888888889
22032_001,267708.36,2376471.32,BRETAGNE,COTES D ARMOR,22,CAULNES,22032,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2011,4.46888888888889
22032_002,264230.77,2374383.68,BRETAGNE,COTES D ARMOR,22,CAULNES,22032,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,607,1.34888888888889
22033_002,200890,2371810,BRETAGNE,COTES D ARMOR,22,CAUREL,22033,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,949,3.95416666666667
22039_002,227807,2360508,BRETAGNE,COTES D ARMOR,22,CHEZE,22039,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1200,5
22042_002,183263.13,2433879.27,BRETAGNE,COTES D ARMOR,22,COATREVEN,22042,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2326,5.16888888888889
22044_001,236393.99,2397691.96,BRETAGNE,COTES D ARMOR,22,COETMIEUX,22044,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,3620,8.04444444444444
22046_001,238055.1,2378181.37,BRETAGNE,COTES D ARMOR,22,MENE,22046,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1501,6.25416666666667
22046_002,247310.78,2376967.93,BRETAGNE,COTES D ARMOR,22,MENE,22046,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,899,1.99777777777778
22047_001,201095,2381260,BRETAGNE,COTES D ARMOR,22,CORLAY,22047,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,2312,9.63333333333333
22048_001,266573.04,2397184.9,BRETAGNE,COTES D ARMOR,22,CORSEUL,22048,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1286,2.85777777777778
22050_002,274554.77,2393463.81,BRETAGNE,COTES D ARMOR,22,QUEVERT,22259,4G/5G,,3G,4G,3G,4G,5G,> 1 Gbps,1000,5283,5.283
22051_001,253600,2386206,BRETAGNE,COTES D ARMOR,22,JUGON LES LACS COMMUNE NOUVELLE,22084,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,2300,9.58333333333333
22052_001,170635.22,2390516.62,BRETAGNE,COTES D ARMOR,22,DUAULT,22052,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,3895,8.65555555555556
22054_001,247248.99,2413802.05,BRETAGNE,COTES D ARMOR,22,ERQUY,22054,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,4209,9.35333333333333
22055_001,218105.82,2416689.72,BRETAGNE,COTES D ARMOR,22,BINIC ETABLES SUR MER,22055,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,4526,18.8583333333333
22056_001,283112.51,2386060.84,BRETAGNE,COTES D ARMOR,22,EVRAN,22056,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2756,6.12444444444444
22062_001,241956.29,2366390.8,BRETAGNE,COTES D ARMOR,22,GOMENE,22062,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,308,1.28333333333333
22070_001,195147,2410831,BRETAGNE,COTES D ARMOR,22,GUINGAMP,22070,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,7259,16.1311111111111
22076_001,251647.02,2405360.49,BRETAGNE,COTES D ARMOR,22,HENANBIHEN,22076,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1370,3.04444444444444
