Site,Transmitter Easting,Transmitter northing,Capacite_theorique,Capacite_th,Site_Population,Population/Capacity
22001_001,216304.35,2379168.14,> 240 Mbps,240,2186,9.108333333333333
22004_002,184600.0,2418380.0,> 450 Mbps,450,4039,8.975555555555555
22007_003,218859.75,2413778.09,> 450 Mbps,450,4627,10.282222222222222
22013_001,191596.83,2399739.93,> 450 Mbps,450,1612,3.582222222222222
22020_001,258690.01,2378074.98,> 450 Mbps,450,2644,5.875555555555556
22021_001,272246.9,2385217.49,> 450 Mbps,450,2375,5.277777777777778
22030_001,179176.0,2427410.0,> 450 Mbps,450,2056,4.568888888888889
22032_001,267708.36,2376471.32,> 450 Mbps,450,2011,4.4688888888888885
22032_002,264230.77,2374383.68,> 450 Mbps,450,607,1.3488888888888888
22033_002,200890.0,2371810.0,> 240 Mbps,240,949,3.9541666666666666
22039_002,227807.0,2360508.0,> 240 Mbps,240,1200,5.0
22042_002,183263.13,2433879.27,> 450 Mbps,450,2326,5.168888888888889
22044_001,236393.99,2397691.96,> 450 Mbps,450,3620,8.044444444444444
22046_001,238055.1,2378181.37,> 240 Mbps,240,1501,6.254166666666666
22046_002,247310.78,2376967.93,> 450 Mbps,450,899,1.9977777777777777
22047_001,201095.0,2381260.0,> 240 Mbps,240,2312,9.633333333333333
22048_001,266573.04,2397184.9,> 450 Mbps,450,1286,2.8577777777777778
22050_002,274554.77,2393463.81,> 1 Gbps,1000,5283,5.283
22051_001,253600.0,2386206.0,> 240 Mbps,240,2300,9.583333333333334
22052_001,170635.22,2390516.62,> 450 Mbps,450,3895,8.655555555555555
22054_001,247248.99,2413802.05,> 450 Mbps,450,4209,9.353333333333332
22055_001,218105.82,2416689.72,> 240 Mbps,240,4526,18.85833333333333
22056_001,283112.51,2386060.84,> 450 Mbps,450,2756,6.124444444444444
22062_001,241956.29,2366390.8,> 240 Mbps,240,308,1.2833333333333334
22070_001,195147.0,2410831.0,> 450 Mbps,450,7259,16.13111111111111
22076_001,251647.02,2405360.49,> 450 Mbps,450,1370,3.0444444444444443
22077_001,248693.0,2402783.0,> 450 Mbps,450,1164,2.5866666666666664
22079_002,228943.87,2386873.85,> 450 Mbps,450,1341,2.98
22084_005,255450.0,2389970.0,> 450 Mbps,450,1079,2.397777777777778
22084_006,256978.01,2391169.99,> 240 Mbps,240,879,3.6625
22088_001,189763.09,2393986.78,> 240 Mbps,240,1009,4.204166666666667
22093_004,242566.27,2394909.19,> 450 Mbps,450,7917,17.593333333333334
22097_001,266424.75,2390810.69,> 450 Mbps,450,1660,3.688888888888889
22100_001,231810.0,2376100.0,> 240 Mbps,240,2161,9.004166666666666
22106_002,226208.67,2400386.55,> 240 Mbps,240,2804,11.683333333333334
22106_004,228696.67,2399262.53,> 450 Mbps,450,3658,8.12888888888889
22113_001,172607.42,2429959.14,> 450 Mbps,450,5800,12.88888888888889
22113_006,170554.0,2433038.0,> 450 Mbps,450,943,2.0955555555555554
22113_008,173118.0,2434911.0,> 450 Mbps,450,953,2.117777777777778
22113_009,173805.96,2432505.39,> 450 Mbps,450,2299,5.108888888888889
22113_010,174207.66,2430515.62,> 240 Mbps,240,3440,14.333333333333334
22113_011,175332.17,2430768.16,> 450 Mbps,450,2268,5.04
22117_001,213540.36,2412329.85,> 240 Mbps,240,1784,7.433333333333334
22118_002,278669.8,2390866.71,> 1 Gbps,1000,2515,2.515
22121_001,207803.0,2418012.0,> 450 Mbps,450,7584,16.85333333333333
22122_001,238883.16,2366171.45,> 450 Mbps,450,872,1.9377777777777776
22123_001,274109.22,2391688.26,> 450 Mbps,450,11147,24.77111111111111
22127_001,199824.85,2435566.06,> 450 Mbps,450,3851,8.557777777777778
22131_001,170025.0,2407910.0,> 240 Mbps,240,678,2.825
22134_001,178799.17,2436487.71,> 450 Mbps,450,4273,9.495555555555557
22135_003,182478.67,2411359.14,> 240 Mbps,240,1473,6.1375
22136_001,221553.53,2365352.14,> 240 Mbps,240,5480,22.83333333333333
22136_002,220388.0,2363137.0,> 240 Mbps,240,2439,10.1625
22140_002,242473.76,2389263.78,> 450 Mbps,450,1874,4.164444444444444
22143_001,259678.0,2409450.0,> 450 Mbps,450,1431,3.18
