Name,Easting,Northing,Height,Population,Area
29040_002,73147.35,2396675.07,22.65,1923,66322
29221_003,76725.18,2413010.96,27,1898,40933
29190_001,77347.85,2395892.37,27,3105,17394
29177_001,77360.26,2407028.55,39,2663,38330
29221_001,77686,2411155,38.8,1495,22256
29201_001,78402,2402154,26.5,1131,13864
29168_001,78770,2360350,15,1578,62316
29178_002,81594.19,2418306.24,23,2895,42208
29130_001,83410,2396440,33.2,3118,24238
29178_001,83702.12,2415200.66,31.4,2484,13197
29260_002,86462.73,2405438.28,35.5,4374,13313
29212_004,86615,2399335,25.5,2366,8986
29022_001,86850.01,2386220,18,2382,21153
29196_001,87669.66,2414454.76,29,1378,13791
29257_001,87864.62,2418514.77,27,1965,20840
29212_005,88493,2397945,18.55,3167,4841
29197_002,88933.25,2357956.88,24.7,4679,31312
29069_001,90434.96,2403306.67,22.2,4343,5129
29149_003,90614.12,2407975.13,26.1,1357,5638
29042_008,91112.1,2380808.72,26,1153,8006
29101_001,91115.92,2421145.31,22.4,3002,16680
29019_036,92027.92,2399985.63,21,1416,1754
29019_026,92112,2397852,24.9,6944,14992
29197_003,92153.3,2359101.46,25,1831,14263
29019_016,92422.31,2398614.61,40.5,6267,2073
29035_001,93100,2409170,22.9,357,6553
29042_004,93189,2382966,32.2,3775,28291
29019_001,93249,2398110.01,12.7,2041,161
29019_018,93334.04,2400895.01,58,7982,3035
29011_001,93593,2404383,21.8,2082,4597
29019_010,93821.06,2398978.95,39.7,4891,977
29019_029,94083.04,2398358.42,18,5020,1309
29019_012,94569.99,2400990,44.7,8824,1192
29019_015,94642.88,2399177.69,15,895,119
29215_001,95200,2353980,23,2157,42619
29117_001,95423.15,2418950.08,38.5,3259,11006
29019_002,95458,2399543.05,23.7,4160,295
29019_031,95605.21,2401704.96,25,3434,941
29015_003,95669.18,2411790.56,27,1624,7749
29019_028,95791.27,2398713.77,23.2,5630,4581
29019_033,96054.32,2399241.44,20.7,2566,141
29019_013,96435.06,2401269.95,49,4524,1157
29061_002,96465.03,2406084.97,29.4,3165,9163
29195_002,96590.01,2422780,41.1,2516,46652
29019_009,96654.97,2400124,38,5725,725
29019_020,97013.98,2399274.03,25.82,5915,981
29019_034,97217.14,2400425.13,34.6,3560,1413
29019_038,97534.44,2402071.21,16.5,1064,1396
29061_001,97698.02,2402969.98,23.3,1228,4201
29209_001,97989.62,2414199.38,27,1860,9864
29019_030,98094.7,2398685.26,26.3,763,1929
29019_011,98265.02,2399619.94,34,1984,2489
29189_004,99230.72,2394614.45,39.5,1022,20472
29225_001,100516.05,2351223.74,31,1586,13770
29160_004,100971.02,2410963,35.35,4333,16690
29019_004,101198.34,2399474.08,26,5389,2933
29046_001,102095.57,2363764.44,35.2,9454,38951
29215_002,102669.56,2354376.44,21.7,1121,13647
29075_003,102863.04,2401596.05,21.9,3149,5563
29158_009,102940,2334040,27.9,2029,37936
29189_007,103065.4,2397203.1,27,2481,4096
29280_001,103975,2379840,16.1,1907,40590
29167_001,104330,2350160,36.95,586,10873
29189_005,104483,2395767,26.9,3533,15307
29252_001,104819.24,2337911.32,20.95,1577,12620
29174_002,104975,2345120,37.3,1594,19865
29284_001,105656.97,2332633.96,32.3,4771,37476
29179_002,105963,2414110,17.8,1591,10434
29091_001,106310.04,2427117.82,27.8,2319,59318
29174_003,106649,2342857,22.3,2058,9633
29167_003,106851.11,2352949.79,26.3,1025,8658
